Country of origin,Year,International total
Panama,2018,185
Panama,2019,285
Panama,2020,385
Panama,2021,630
Panama,2022,866
Papua New Guinea,2017,778
Papua New Guinea,2018,869
Papua New Guinea,2019,1024
Papua New Guinea,2020,1160
Papua New Guinea,2021,1143
Papua New Guinea,2022,1149
Paraguay,2017,252
Paraguay,2018,351
Paraguay,2019,716
Paraguay,2020,987
Paraguay,2021,1227
Paraguay,2022,1239
Peru,2017,6085
Peru,2018,7474
Peru,2019,11434
Peru,2020,13417
Peru,2021,12567
Peru,2022,18330
Philippines,2017,8526
Philippines,2018,4326
Philippines,2019,5286
Philippines,2020,5458
Philippines,2021,6046
Philippines,2022,6085
Poland,2017,1907
Poland,2018,1997
Poland,2019,1977
Poland,2020,1962
Poland,2021,1943
Poland,2022,1978
Portugal,2017,187
Portugal,2018,265
Portugal,2019,363
Portugal,2020,387
Portugal,2021,465
Portugal,2022,561
Qatar,2017,70
Qatar,2018,63
Qatar,2019,72
Qatar,2020,71
Qatar,2021,82
Qatar,2022,94
Rep. of Korea,2017,620
Rep. of Korea,2018,810
Rep. of Korea,2019,823
Rep. of Korea,2020,869
Rep. of Korea,2021,1010
Rep. of Korea,2022,1041
Rep. of Moldova,2017,5757
Rep. of Moldova,2018,6934
Rep. of Moldova,2019,8080
Rep. of Moldova,2020,7716
Rep. of Moldova,2021,9071
Rep. of Moldova,2022,10032
Romania,2017,4466
Romania,2018,5408
Romania,2019,5262
Romania,2020,5063
Romania,2021,5869
Romania,2022,7521
Russian Federation,2017,100247
Russian Federation,2018,104725
Russian Federation,2019,110635
Russian Federation,2020,97141
Russian Federation,2021,111506
Russian Federation,2022,125235
Rwanda,2017,271787
Rwanda,2018,261241
Rwanda,2019,262133
Rwanda,2020,262429
Rwanda,2021,271742
Rwanda,2022,271330
Saint Kitts and Nevis,2017,69
Saint Kitts and Nevis,2018,69
Saint Kitts and Nevis,2019,74
Saint Kitts and Nevis,2020,72
Saint Kitts and Nevis,2021,79
Saint Kitts and Nevis,2022,61
Saint Lucia,2017,1173
Saint Lucia,2018,1090
Saint Lucia,2019,917
Saint Lucia,2020,809
Saint Lucia,2021,548
Saint Lucia,2022,191
Saint Vincent and the Grenadines,2017,1447
Saint Vincent and the Grenadines,2018,1314
Saint Vincent and the Grenadines,2019,1056
Saint Vincent and the Grenadines,2020,780
Saint Vincent and the Grenadines,2021,552
Saint Vincent and the Grenadines,2022,235
Samoa,2017,11
Samoa,2018,42
Samoa,2019,84
Samoa,2020,133
Samoa,2021,165
Samoa,2022,231
